object_type	number	title	author	state	created_at	closed_at	merged	head_sha	base_sha	commits	changed_files	additions	deletions	source_url	custody_note
pr	373	land the portable implementation of the new blake3_guts crate	oconnor663	merged	2024-01-22T02:43:55Z	2024-01-22T06:23:46Z	true	5558fa46239742720d84c46edb0544732adf4db8	6f3e6fc86c21a04e89791f6b6930a34f0b66bc6c	5	6	1894	0	https://github.com/BLAKE3-team/BLAKE3/pull/373	maintainer guts API lineage
pr	418	initial SIMD acceleration for the XOF (AVX-512-only, Unix-only)	oconnor663	merged	2024-08-18T16:20:02Z	2024-08-19T17:10:03Z	true	4cc34b0e85002f6fef3cd8b264343172cfbc9f58	99d342a1eb0363bf0b3f6a96c0017dc4f4d1011d	14	13	2896	30	https://github.com/BLAKE3-team/BLAKE3/pull/418	body attributes assembly to sneves
pr	442	Add keyed and derive_key variants for guts	devinrsmith	open	2025-01-08T01:53:00Z		false	697680399a373b4af4761c69acf16a2d795e0e93	93a431c78a52d7ccf0f366f106467f5070e6075e	1	1	128	31	https://github.com/BLAKE3-team/BLAKE3/pull/442	external advanced API proposal
pr	445	Implement oneTBB-based parallelism for C lib	silvanshade	merged	2025-02-08T14:36:02Z	2025-03-13T19:16:50Z	true	58d13d6f9770e66c54c3bf11a8190927c9d9590a	a31e519869d5751370f50c39a99340660ee95bf7	2	18	848	102	https://github.com/BLAKE3-team/BLAKE3/pull/445	oneTBB C parallelism
pr	457	Implement OpenMP-based parallelism for C lib	ibmibmibm	open	2025-03-19T18:15:32Z		false	3b93d7004e252b2a46826fd3f0f9743d9b49959c	93a431c78a52d7ccf0f366f106467f5070e6075e	3	16	396	37	https://github.com/BLAKE3-team/BLAKE3/pull/457	body says Mimics all TBB changes (#445)
pr	458	add the hazmat module	oconnor663	merged	2025-03-27T16:12:22Z	2025-03-31T00:25:54Z	true	9004cbcbde679ac5f8e24d698d2aa7e17d848d17	83a60d9da6a44b719e258926e568c203d3b4dd36	31	8	831	113	https://github.com/BLAKE3-team/BLAKE3/pull/458	CCs external contributors and links Iroh fork
pr	496	Fix Cygwin build by skipping blake3_xof_many_avx512	kikairoya	merged	2025-07-13T08:34:35Z	2025-12-09T19:38:21Z	true	d62babb7ebb01c8ac4aaa580f4b49071a639195e	34d293eb2aa75005406d8a7d78687896f714e89a	1	2	2	2	https://github.com/BLAKE3-team/BLAKE3/pull/496	fixes issue #494
pr	533	A little bit of helping	rafaelmeloreisnovo	closed-unmerged	2025-11-25T00:42:22Z	2025-11-25T03:29:05Z	false	15829f851e45d1327b017be67a7b88d7725bc653	308b95dfa15d5a0aa8cb3c5534ffd90d76122c46	24	10	1566	195	https://github.com/BLAKE3-team/BLAKE3/pull/533	close actor oconnor663; public RMR prior-art object
pr	552	fix LTO builds by disabling LTO	oconnor663	merged	2026-04-24T21:34:48Z	2026-04-24T23:33:58Z	true	299b1e209ef80fd2261567635198331f683c4831	15e83a54e9f3e3b595487bb18ba305c7da81ed69	2	2	35	8	https://github.com/BLAKE3-team/BLAKE3/pull/552	Fixes #550
pr	577	add a NEON implementation of xof_many for aarch64	extremeandy	open	2026-08-13T08:01:28Z		false	17b34df8af314142afcfdad096813638397aa30a	77b257eee7da5cd608eaf6be8343d3a4c9776af2	1	3	134	0	https://github.com/BLAKE3-team/BLAKE3/pull/577	Closes #576 if merged; open at audit time
pr	582	align the two on-stack block buffers to 64 bytes	poliebotics	merged	2026-08-28T00:36:47Z	2026-09-10T20:47:10Z	true	0e4eda6805bd125beb084155ea21c48cbaa649d8	f3149ec5bb5449af877ba20377a11008ff499fa2	2	2	66	8	https://github.com/BLAKE3-team/BLAKE3/pull/582	linked zooko/bench-hashes#2; alignment/timing mechanism
pr	589	Feature/rmr hardware build topology v1 20260923	rafaelmeloreisnovo	closed-unmerged	2026-09-23T07:51:50Z	2026-09-23T07:59:18Z	false	809f6213674798cbcd0e76f3fbf060ebe1d68a1d	6aab490a26124663329dfd3961b8469f8fdb158b	547	362	36119	547	https://github.com/BLAKE3-team/BLAKE3/pull/589	self-closed by rafaelmeloreisnovo
pr	44	Adding --check to b3sum	phayes	closed-unmerged	2020-01-26T01:56:57Z	2020-05-15T20:02:57Z	false	81457396bf8e298d74a3bd00aff6897bcdfad2b0	f77c8ffd7cb3261ebe5d8ddc97a6cc04488721a7	2	2	107	1	https://github.com/BLAKE3-team/BLAKE3/pull/44	different maintainer implementation later enters master
pr	118	Fix differing behavior in C implementation on big-endian platforms	pascal-cuoq	closed-unmerged	2020-09-28T20:30:37Z	2020-09-29T20:13:52Z	false	cfa51afe3da2b38ef9d1b7d30ffc5419f864b2f7	b54f8ff5ba1b4230e3ebabf183ddd066380be542	1	1	13	1	https://github.com/BLAKE3-team/BLAKE3/pull/118	maintainer fix 0b13637... with explicit credit
pr	247	Added CMake support	SteveGremory	closed-unmerged	2022-06-05T16:20:32Z	2023-05-01T08:18:09Z	false	37f7b549944b0ba6db280d5b7ea8bfebafdaa798	9ac0a9b896d71eb13ec697908307b8ad935eb145	7	4	104	0	https://github.com/BLAKE3-team/BLAKE3/pull/247	CMake later integrated outside conventional PR merge
pr	341	Wasm32 SIMD Rust implementation	monoid	closed-unmerged	2023-09-10T10:49:13Z	2025-03-18T18:54:45Z	false	7b5bff62dfe360be16372f38c3a34290c2b1475c	a2516b78c2617d9ad289aeec91a02cb05d70cc17	19	7	869	2	https://github.com/BLAKE3-team/BLAKE3/pull/341	later release credit to monoid
pr	358	Add -mfpu=neon if CC accepts it	rui314	closed-unmerged	2023-10-30T04:00:26Z	2023-11-01T02:05:19Z	false	7a1bbbf9794ee90527e375191e3d9961d33565f7	dd30dcb00221591db3a983e0215b81d86cff941d	1	1	6	0	https://github.com/BLAKE3-team/BLAKE3/pull/358	successor #359 explicitly references #358
pr	359	build(CMake): Provide NEON cflags for ARMv8 32bit	BurningEnlightenment	merged	2023-10-31T10:50:11Z	2023-11-04T22:01:41Z	true	3465fe455e6cfd98d94f6d5fe1de9c4e2d566b33	dd30dcb00221591db3a983e0215b81d86cff941d	3	2	19	11	https://github.com/BLAKE3-team/BLAKE3/pull/359	Different approach to fix issue of #358
pr	430	Add b3sum --tag for BSD-style checksums	dbohdan	closed-unmerged	2024-10-23T16:05:19Z	2025-02-28T17:31:00Z	false	2bdc8236fdea537b06c523b534f2cfe4ecbb8861	f8c5f7d023fd77ef7fc6f4596407e510d3468a57	1	2	46	2	https://github.com/BLAKE3-team/BLAKE3/pull/430	successor #453; later dual credit in release
pr	453	b3sum: add --tag	leahneukirchen	merged	2025-02-28T15:58:41Z	2025-02-28T19:59:51Z	true	c721a95806173975d469a2260f57294fcc5a3dde	0f9dc2706f931366632a378a95b348e3cb40ed01	3	2	228	0	https://github.com/BLAKE3-team/BLAKE3/pull/453	successor path for --tag
pr	477	Relax Clang frontend variant detection	silvanshade	closed-unmerged	2025-04-23T21:48:30Z	2025-04-29T21:20:46Z	false	89e3bf919ea508dcc75e59d9bb9ea64ff507b416	f3e0184aaba8284bbab2ce434dd7ed337d3fbe05	1	2	25	16	https://github.com/BLAKE3-team/BLAKE3/pull/477	same-author refactor successor #483
pr	483	Relax Clang frontend variant detection (refactor of #477)	silvanshade	merged	2025-04-29T21:19:52Z	2025-04-30T07:30:02Z	true	b8fd52381adf74ee6fe7ab44c2caaa8fe778e01b	cd6e3e4dd9a9518be45ef742606462ddfb0f3cfd	2	2	25	16	https://github.com/BLAKE3-team/BLAKE3/pull/483	body explicitly cites #477
pr	487	Fix mmap() conditions	nabijaczleweli	closed-unmerged	2025-06-01T01:03:14Z	2026-08-05T20:01:37Z	false	5f872424dc01cc06aead748023327b4248a00ff0	93a431c78a52d7ccf0f366f106467f5070e6075e	1	2	26	20	https://github.com/BLAKE3-team/BLAKE3/pull/487	later #570 explicitly attributes original suggestion
pr	495	Enable AVX-512 xof_many on Windows	oconnor663	closed-unmerged	2025-07-13T01:19:37Z	2025-07-13T01:23:25Z	false	360523bf5230cc5b0bddc1af8201bd001c86bcd3	34d293eb2aa75005406d8a7d78687896f714e89a	1	7	101	8	https://github.com/BLAKE3-team/BLAKE3/pull/495	body contains Codex task URL; event surface records chatgpt-codex-connector
pr	570	use seek instead of metadata to establish mmap length	oconnor663	merged	2026-08-04T23:15:45Z	2026-08-05T20:00:51Z	true	5c568a65d20f4da822dde8f89c12199bfb805c82	9eac279fd71b79ad9e897a4cffb23ee64acfb6df	3	4	183	29	https://github.com/BLAKE3-team/BLAKE3/pull/570	body explicitly credits #487 and Codex for separate optimization
